all,,
one,,
optimistic,more,most
sound,sounder,soundest
respective,,
integral,more,most
intact,,
doubtful,more,most
select,more,most
redundant,more,most
bold,bolder,boldest
amateur,more,most
forward,more,most
then,,
forward,more,most
invisible,,
cognitive,more,most
tragic,more,most
regulatory,,
incredible,more,most
decisive,more,most
territorial,more,most
awake,more,most
inland,more,most
horizontal,more,most
probable,more,most
adverse,adverser,adversest
respectable,more,most
resident,more,most
civilian,,
gothic,more,most
orthodox,more,most
static,,
compatible,more,most
causal,more,most
instant,,
implicit,,
two-thirds,,
old-fashioned,more,most
aesthetic,more,most
aggregate,more,most
slim,slimmer,
lengthy,lengthier,lengthiest
dual,,
subjective,more,most
wee,weer,weest
miserable,"miserabler more","miserablest most"
fantastic,more,most
unaware,more,
protestant,more,most
unconscious,more,most
tenth,,
ethical,more,most
fashionable,more,most
anonymous,more,most
exotic,more,most
teenage,,
costly,costlier,costliest
large-scale,more,most
disastrous,more,most
calm,"calmer more","calmest most"
autonomous,more,most
underground,more,most
cautious,more,most
atomic,,
confidential,more,most
foolish,"foolisher more","foolishest most"
colourful,more,most
purple,"purpler more","purplest most"
polite,"politer more","politest most"
delicious,more,most
thorough,more,most
fond,fonder,fondest
cheerful,more,most
novel,more,most
uniform,more,most
unchanged,more,most
coherent,more,most
glorious,"more gloriouser","most gloriousest"
psychiatric,,
lexical,,
evolutionary,,
disciplinary,more,most
arbitrary,more,most
delightful,more,most
homeless,,
weird,weirder,weirdest
excess,,
intimate,more,most
formidable,more,most
gradual,more,most
outdoor,,
shy,"shier shyer more",
vocational,,
worldwide,more,most
ashamed,more,most
organisational,,
wicked,"wickeder more","wickedest most"
imaginative,more,most
bizarre,"bizarrer more","bizarrest most"
rubber,,
eventual,,
spontaneous,more,most
ministerial,more,most
innovative,more,most
grim,grimmer,
conceptual,more,most
civic,more,most
vivid,vivider,
grammatical,more,most
faithful,more,most
right-wing,more,most
medium,,
meaningful,more,most
supplementary,more,most
geological,,
constructive,more,most
unreasonable,more,most
noisy,noisier,noisiest
mandatory,more,most
sunny,sunnier,sunniest
immune,more,most
co-operative,more,most
mainstream,more,most
behavioural,,
unwilling,more,most
vigorous,more,most
optional,,
indigenous,,
viable,more,most
unsuccessful,more,most
rude,ruder,rudest
bourgeois,more,most
ninth,,
secular,more,most
substantive,more,most
unclear,"unclearer more","unclearest most"
peripheral,more,most
predictable,more,most
offensive,more,most
organizational,,
absurd,"absurder more","absurdest most"
seasonal,more,most
mighty,mightier,mightiest
uneasy,uneasier,uneasiest
optical,more,most
infinite,more,most
day-to-day,more,most
decorative,more,most
quantitative,more,most
proportional,more,most
bureaucratic,more,most
jealous,"jealouser more","jealousest most"
enjoyable,more,most
alien,more,most
provisional,,
instrumental,more,most
terminal,,
handy,handier,handiest
dense,denser,densest
photographic,more,most
clerical,,
unlawful,more,most
municipal,more,most
passionate,more,most
restrictive,more,most
lone,,
twelfth,,
luxury,more,most
indoor,,
syntactic,more,most
departmental,,
unprecedented,,
notorious,more,most
tense,tenser,tensest
contractual,,
virtual,,
grave,graver,gravest
archaeological,more,most
trivial,more,most
portable,more,most
interactive,more,most
vicious,"viciouser more","viciousest most"
subordinate,more,most
irrespective,,
fragile,"fragiler more","fragilest most"
oesophageal,,
nominal,,
memorable,more,most
bleak,bleaker,bleakest
papal,more,most
inferior,more,most
intestinal,,
complementary,more,most
talented,more,most
eternal,,
bodily,more,most
magical,more,most
bass,more,most
understandable,more,most
noticeable,more,most
blonde,"blonder more","blondest most"
ambiguous,more,most
authentic,more,most
feasible,more,most
incapable,more,most
comic,more,most
colonic,,
solitary,,
arctic,more,most
vain,"vainer more","vainest most"
harmful,"harmfuller more","harmfullest most"
divisional,,
obscure,"obscurer more","obscurest most"
invaluable,more,most
lazy,lazier,laziest
vacant,more,most
surplus,,
sticky,stickier,stickiest
swift,swifter,swiftest
premature,more,most
miniature,more,most
ample,ampler,amplest
abnormal,more,
customary,more,most
imminent,more,most
sore,sorer,sorest
radioactive,,
deadly,"deadlier more","deadliest most"
unwanted,more,most
plausible,more,most
prone,more,most
sociological,,
helpless,more,most
wary,warier,wariest
unfamiliar,more,most
surgical,more,most
one-third,,
supportive,more,most
feminine,more,most
left-wing,more,most
pre-tax,,
destructive,more,most
petty,"pettier more","pettiest most"
bilateral,more,most
would-be,,
consequent,,
potent,more,most
ecclesiastical,more,most
rotten,"rottener more","rottenest most"
factual,more,most
pragmatic,more,most
unsatisfactory,more,most
